,Topic,Word,P
0,0,aggression,
1,0,not,
2,0,matter,
3,0,morning,
4,0,need,
5,0,hate,
6,0,adam_smasher,
7,0,amateur,
8,0,comedian,
9,0,journey,
10,0,pimpofchimp,
11,0,vulgar,
12,0,electronic,
13,0,graphic,
14,0,visual,
15,0,network,
16,0,television,
17,0,weeping,
18,0,may,
19,0,place,
20,1,aggression,
21,1,not,
22,1,matter,
23,1,morning,
24,1,need,
25,1,hate,
26,1,adam_smasher,
27,1,amateur,
28,1,comedian,
29,1,journey,
30,1,pimpofchimp,
31,1,vulgar,
32,1,electronic,
33,1,graphic,
34,1,visual,
35,1,network,
36,1,television,
37,1,weeping,
38,1,may,
39,1,place,
